hsa-miR-582-3p,DKK3
JUN,THBD
JUN,MYB
JUN,CYR61
JUN,TIMP1
JUN,ESR1
hsa-miR-150-5p,MYB
hsa-miR-150-5p,SLC2A1
ADRA2A,GNG11
hsa-miR-92a-3p,KLF2
MYB,CBX4
MYB,CD34
MYB,CA12
MYB,GATA3
ERBB2,VAV3
ERBB2,FGFR3
ERBB3,VAV3
ERBB3,FGFR3
FGFR3,VAV3
hsa-miR-199a-3p,YAP1
hsa-miR-193a-5p,ERBB2
FOXA1,TFF1
hsa-miR-101-3p,KLF6
hsa-miR-125a-5p,ERBB2
hsa-miR-125a-5p,ERBB3
hsa-miR-125a-5p,EIF4EBP1
hsa-miR-30c-5p,BCL9
hsa-miR-30a-5p,BCL9
hsa-miR-455-3p,FUT8
hsa-miR-99a-5p,FGFR3
hsa-miR-24-3p,TRIM11
hsa-miR-24-3p,GATA3
PRLR,STAT5A
hsa-miR-26a-5p,FUT8
hsa-miR-26a-5p,ESR1
hsa-miR-429,DLC1
PNPLA2,MGLL
C4A,C4B
C4B,C4A
B4GALT3,FMOD
hsa-miR-93-5p,FOXA1
CERS6,DEGS2
hsa-miR-148b-3p,SLC2A1
RHOQ,F2RL2
GALNT7,MUC1
hsa-miR-29b-3p,ADAM12
HADH,ABAT
HADH,ALDH2
hsa-miR-200a-3p,THRB
ESR1,FOXA1
ESR1,ABCA3
ESR1,TFF1
ESR1,GSN
VAV3,RHOQ
hsa-miR-132-3p,SPRY1
hsa-miR-132-3p,SLC2A1
hsa-let-7g-5p,FN1
GNG11,VAV3
GNG11,FGFR3
MBOAT7,PLA2G16
SDR16C5,RETSAT
hsa-miR-205-5p,ERBB2
hsa-miR-205-5p,ERBB3
hsa-miR-205-5p,BCL6
DLC1,RHOQ
hsa-miR-10a-5p,BCL6
ACSS2,ALDH2
BCL9,HIST1H2AC
hsa-let-7a-5p,FOXA1
hsa-let-7a-5p,RAB40C
hsa-miR-378a-3p,GALNT7
hsa-miR-192-5p,ESR1
ALDH2,IDH2
ALDH2,ABAT
ALDH2,ACSS2
hsa-miR-155-5p,MYB
hsa-miR-155-5p,BCL6
hsa-miR-155-5p,CYR61
hsa-miR-155-5p,JUN
STAT5A,ID1
ST3GAL4,MUC1
ST3GAL4,FMOD
CFD,CFB
CRTAP,COL5A2
CRTAP,COL14A1
CRTAP,COL12A1
ABAT,HADH
ABAT,ALDH2
hsa-miR-381-3p,TBC1D9
hsa-miR-381-3p,ID1
hsa-miR-100-5p,CYR61
hsa-miR-100-5p,FGFR3
hsa-miR-141-3p,YAP1
FOXO4,BCL6
FGD3,RHOQ
hsa-miR-193b-3p,MYB
CALCOCO1,TFF1
hsa-miR-30b-5p,BCL6
hsa-miR-30b-5p,BCL9
hsa-miR-140-3p,FN1
hsa-miR-21-5p,BCL6
hsa-miR-29c-3p,FZD4
hsa-miR-199a-5p,ERBB2
hsa-miR-199a-5p,ERBB3
hsa-miR-199a-5p,FZD4
hsa-miR-200b-3p,JUN
PSME2,BUB3
hsa-miR-145-5p,HDAC11
hsa-miR-145-5p,MUC1
hsa-miR-145-5p,ESR1
MCM6,POLD4
hsa-miR-181a-5p,KLF6
hsa-miR-181a-5p,CEBPA
hsa-miR-181a-5p,TIMP1
CACNG4,ACTA2
CACNG4,TNNT1
CACNG4,ATP2A3
CACNG4,LMOD1
CACNG4,MYL9
hsa-miR-183-5p,IDH2
hsa-miR-451a,MIF
hsa-miR-27a-3p,RARA
hsa-miR-27a-3p,THRB
hsa-miR-27a-3p,GATA3
hsa-miR-27a-3p,YAP1
hsa-miR-423-5p,TFF1
hsa-miR-23a-3p,FOXA1
hsa-miR-375,ERBB2
hsa-miR-375,YAP1
SLC9A3R1,GSN
hsa-miR-103a-3p,MYB
hsa-miR-103a-3p,GPRC5A
FUT8,B4GALT3
