ACCESSION,NAME
MIMAT0000062,hsa-let-7a-5p
MIMAT0000063,hsa-let-7b-5p
MIMAT0000064,hsa-let-7c-5p
MIMAT0000065,hsa-let-7d-5p
MIMAT0000066,hsa-let-7e-5p
MIMAT0000067,hsa-let-7f-5p
MIMAT0000068,hsa-miR-15a-5p
MIMAT0000069,hsa-miR-16-5p
MIMAT0004496,hsa-miR-23a-5p
MIMAT0004497,hsa-miR-24-2-5p
MIMAT0000082,hsa-miR-26a-5p
MIMAT0000083,hsa-miR-26b-5p
MIMAT0004501,hsa-miR-27a-5p
MIMAT0000085,hsa-miR-28-5p
MIMAT0004503,hsa-miR-29a-5p
MIMAT0000087,hsa-miR-30a-5p
MIMAT0000089,hsa-miR-31-5p
MIMAT0004507,hsa-miR-92a-1-5p
MIMAT0004513,hsa-miR-101-5p
MIMAT0004514,hsa-miR-29b-1-5p
MIMAT0004515,hsa-miR-29b-2-5p
MIMAT0000104,hsa-miR-107
MIMAT0000261,hsa-miR-183-5p
MIMAT0000263,hsa-miR-199b-5p
MIMAT0000265,hsa-miR-204-5p
MIMAT0000266,hsa-miR-205-5p
MIMAT0000275,hsa-miR-218-5p
MIMAT0000276,hsa-miR-219a-5p
MIMAT0000281,hsa-miR-224-5p
MIMAT0026477,hsa-miR-128-1-5p
MIMAT0004600,hsa-miR-144-5p
MIMAT0000440,hsa-miR-191-5p
MIMAT0000441,hsa-miR-9-5p
MIMAT0000443,hsa-miR-125a-5p
MIMAT0000444,hsa-miR-126-5p
MIMAT0004604,hsa-miR-127-5p
MIMAT0000447,hsa-miR-134-5p
MIMAT0000448,hsa-miR-136-5p
MIMAT0000449,hsa-miR-146a-5p
MIMAT0000450,hsa-miR-149-5p
MIMAT0000451,hsa-miR-150-5p
MIMAT0000452,hsa-miR-154-5p
MIMAT0000454,hsa-miR-184
MIMAT0000455,hsa-miR-185-5p
MIMAT0000456,hsa-miR-186-5p
MIMAT0000457,hsa-miR-188-5p
MIMAT0000458,hsa-miR-190a-5p
MIMAT0004614,hsa-miR-193a-5p
MIMAT0000460,hsa-miR-194-5p
MIMAT0000461,hsa-miR-195-5p
MIMAT0000510,hsa-miR-320a
MIMAT0004657,hsa-miR-200c-5p
MIMAT0002890,hsa-miR-299-5p
MIMAT0000703,hsa-miR-361-5p
MIMAT0000705,hsa-miR-362-5p
MIMAT0022833,hsa-miR-365b-5p
MIMAT0000727,hsa-miR-374a-5p
MIMAT0000728,hsa-miR-375
MIMAT0003386,hsa-miR-376a-5p
MIMAT0000731,hsa-miR-378a-5p
MIMAT0000733,hsa-miR-379-5p
MIMAT0000737,hsa-miR-382-5p
MIMAT0004700,hsa-miR-331-5p
MIMAT0000761,hsa-miR-324-5p
MIMAT0004701,hsa-miR-338-5p
MIMAT0000764,hsa-miR-339-5p
MIMAT0000765,hsa-miR-335-5p
MIMAT0003393,hsa-miR-425-5p
MIMAT0001545,hsa-miR-450a-5p
MIMAT0001631,hsa-miR-451a
MIMAT0001638,hsa-miR-409-5p
MIMAT0004761,hsa-miR-483-5p
MIMAT0002174,hsa-miR-484
MIMAT0002177,hsa-miR-486-5p
